original,augmented,method
count on his movie to work at the back of your neck long after you leave the theater .,Count on her film to work in the back of your neck long after you leave the theatre.,back_translation
"in many ways , reminiscent of 1992 's unforgiven which also utilized the scintillating force of its actors to draw out the menace of its sparse dialogue .","in many ways , recalling the unforgiven of 1992 which also used the glittering force of its actors to draw the threat of its scattered dialogue .",back_translation
if only there were one for this kind of movie .,If there was only one for this kind of movie.,back_translation
"it may be about drug dealers , kidnapping , and unsavory folks , but the tone and pacing are shockingly intimate .","It may be about drug dealers, kidnapping, and unsavory people, but the tone and rhythm are shockingly intimate.",back_translation
"you see robin williams and psycho killer , and you think , hmmmmm .","You see thugs and a psychopath killer, and you think, hmmmm.",back_translation
the armenian genocide deserves a more engaged and honest treatment .,the Armenian genocide deserves a more committed and honest treatment.,back_translation
new yorkers always seem to find the oddest places to dwell ...,new yorkers always seem to find the strangest places to live ...,back_translation
might be one of those vanity projects in which a renowned filmmaker attempts to show off his talent by surrounding himself with untalented people .,could be one of those vanity projects in which a well-known filmmaker tries to show his talent by surrounding himself with people without talent.,back_translation
"are monsters born , or made ?","Are monsters born, or are they made?",back_translation
only at the prospect of beck 's next project .,only in the perspective of the next project.,back_translation
consider this review life-affirming .,consider this review life-assertion .,back_translation
rodriguez ... was unable to reproduce the special spark between the characters that made the first film such a delight .,rodriguez ... could not reproduce the special spark between the characters who made the first film such a delight.,back_translation
"jones helps breathe some life into the insubstantial plot , but even he is overwhelmed by predictability .","Jones helps breathe a certain life into the unfounded plot, but even he is overwhelmed by predictability.",back_translation
"if the movie were all comedy , it might work better .","If the movie were a comedy, it would work better.",back_translation
now he makes them .,Now he's doing it.,back_translation
kaufman and jonze take huge risks to ponder the whole notion of passion -- our desire as human beings for passion in our lives and the emptiness one feels when it is missing .,Kaufman and Jonze take enormous risks to reflect on the whole notion of passion -- our desire to be human for the passion in our lives and the emptiness we feel when it is missing.,back_translation
"the members manage to pronounce kok exactly as you think they might , thus giving the cast ample opportunity to use that term as often as possible .","members manage to pronounce kok exactly as you think they could, giving the cast ample opportunity to use this term as often as possible.",back_translation
most folks with a real stake in the american sexual landscape will find it either moderately amusing or just plain irrelevant .,Most people with a real interest in the American sex landscape will find it either moderately fun or simply irrelevant.,back_translation
"but when it does , you 're entirely unprepared .","But when he does, you're completely unprepared.",back_translation
earnest but heavy-handed .,serious but heavy.,back_translation
ali 's graduation from little screen to big is far less painful than his opening scene encounter with an over-amorous terrier .,ali 's graduation from small screen to large is much less painful than its opening scene encounters with a terrier too mous.,back_translation
"bacon keeps things interesting , but do n't go out of your way to pay full price .","bacon keeps things interesting, but don't get out of your way to pay the full price.",back_translation
"maid in manhattan might not look so appealing on third or fourth viewing down the road ... but as a high concept vehicle for two bright stars of the moment who can rise to fans ' lofty expectations , the movie passes inspection .","domestic in manhattan may not seem so attractive on the third or fourth view on the road ... but as a high-design vehicle for two bright stars of the moment that can rise to high expectations of fans, the film passes the inspection.",back_translation
"shanghai ghetto should be applauded for finding a new angle on a tireless story , but you might want to think twice before booking passage .","shanghai ghetto should be applauded for finding a new angle on a tireless story, but you might want to think twice before booking passage.",back_translation
cynics need not apply . ',"cynicals shall not apply.""",back_translation
"pure of intention and passably diverting , his secret life is light , innocuous and unremarkable .","His secret life is light, harmless and impenetrable.",back_translation
"ice age is the first computer-generated feature cartoon to feel like other movies , and that makes for some glacial pacing early on .","ice age is the first computer created cartoon to feel like other movies, and that makes for a little icy pacing early on.",back_translation
mildly entertaining .,slightly entertaining.,back_translation
"` men in black ii creates a new threat for the mib , but recycles the same premise .","Men in black ii creates a new threat to the Mib, but recycles the same premise.",back_translation
"seeing seinfeld at home as he watches his own appearance on letterman with a clinical eye reminds you that the key to stand-up is to always make it look easy , even though the reality is anything but .","see seinfeld at home as he looks at his own appearance on the letterman with a clinical eye reminds you that the key to getting up is to always make it easy, even if reality is anything but.",back_translation
"though excessively tiresome , the uncertainty principle , as verbally pretentious as the title may be , has its handful of redeeming features , as long as you discount its ability to bore .","Although overly tiring, the principle of uncertainty, as verbally pretentious as the title may be, has its handful of buyback features, as long as you save its ability to get bored.",back_translation
the most anti-human big studio picture since 3000 miles to graceland .,The most anti-human image of the big studio since 3000 miles in graceland.,back_translation
a crisply made movie that is no more than mildly amusing .,a fashionable movie that is no more than a slightly fun movie.,back_translation
ruh-roh !,- What's that?,back_translation
i ca n't remember the last time i saw a movie where i wanted so badly for the protagonist to fail .,I don't remember the last time I saw a movie where I wanted so much that the protagonist failed.,back_translation
"the movie worked for me right up to the final scene , and then it caved in .","The movie worked for me until the final scene, and then he broke into it.",back_translation
i prefer to think of it as `` pootie tang with a budget . '',"I'd rather think of him as a ""pootie tang with a budget.""",back_translation
one just waits grimly for the next shock without developing much attachment to the characters .,We just sadly wait for the next shock without developing a lot of attachment to the characters.,back_translation
and that should tell you everything you need to know about all the queen 's men .,And that should tell you everything you need to know about all the Queen's men.,back_translation
"as home movie gone haywire , it 's pretty enjoyable , but as sexual manifesto , i 'd rather listen to old tori amos records .","as a movie at home has become hay thread, it's pretty nice, but as a sexual manifesto, I prefer to listen to old records of tori amos.",back_translation
"with its jerky hand-held camera and documentary feel , bloody sunday is a sobering recount of a very bleak day in derry .","With its camera and documentary feeling, the bloody Sunday is a sobriety story of a very dark day at sea.",back_translation
"a passable romantic comedy , in need of another couple of passes through the word processor .","a romantic comedy passable, in need of another couple of passes through the text processor.",back_translation
"any chekhov is better than no chekhov , but it would be a shame if this was your introduction to one of the greatest plays of the last 100 years .","Any Chekhov is better than not Chekhov, but it would be a shame if it were your introduction to one of the biggest games of the last 100 years.",back_translation
"it may not be history -- but then again , what if it is ?","Maybe it's not the story, but again, what if it is?",back_translation
exactly what you 'd expect from a guy named kaos .,exactly what you expected from a guy named Kaos.,back_translation
"i had more fun with ben stiller 's zoolander , which i thought was rather clever .","I had more fun with Ben Stilder's zoolander, which I thought was pretty smart.",back_translation
but not a whit more .,But not a little more.,back_translation
displays the potential for a better movie than what bailly manages to deliver,displays the potential for a better film than the surety manages to deliver,back_translation
"sometimes entertaining , sometimes indulgent -- but never less than pure wankery .","Sometimes entertaining, sometimes indulgent -- but never less than pure wankery.",back_translation
"-lrb- the digital effects -rrb- reminded me of terry gilliam 's rudimentary old monty python cartoons , in which he would cut out figures from drawings and photographs and paste them together .","-lrb- digital effects -rrb- reminded me of the old drawings of rough gliam monty python, in which he would cut off figures of drawings and photographs and paste them together.",back_translation
does anyone much think the central story of brendan behan is that he was a bisexual sweetheart before he took to drink ?,Does anyone think the central story of Brendan Behan is that he was a bisexual love before drinking?,back_translation
most of the characters come off as pantomimesque sterotypes .,Most characters are pantomimesque sterotypes.,back_translation
"as self-aware movies go , who is cletis tout ?","like self-consciousness movies go, who's cletis everything?",back_translation
the same should go for movie theaters .,the same thing should go for the movie theaters.,back_translation
"the entire movie has a truncated feeling , but what 's available is lovely and lovable .","the entire film has a truncated sensation, but what is available is charming and pleasant.",back_translation
"aptly named , this shimmering , beautifully costumed and filmed production does n't work for me .","Justly named, this brilliant production, beautifully costumed and filmed does not work for me.",back_translation
"a few energetic stunt sequences briefly enliven the film , but the wheezing terrorist subplot has n't the stamina for the 100-minute running time , and the protagonists ' bohemian boorishness mars the spirit of good clean fun .","Some energetic cascade sequences briefly animate the film, but the whistle terrorist subplot does not have endurance for the 100 minutes running time, and the protagonists' bohemian bohème boorishness March spirit of good pleasure clean.",back_translation
"an uplifting drama ... what antwone fisher is n't , however , is original .","a dramatic uplifying ... what the fisherman antwone is not, however, is original.",back_translation
`` me without you '' is a probing examination of a female friendship set against a few dynamic decades .,``me without you '' is a probing examination of a female friendship against a few dynamic decades.,back_translation
the good thing -- the only good thing -- about extreme ops is that it 's so inane that it gave me plenty of time to ponder my thanksgiving to-do list .,the good thing -- the only good thing -- about extreme operations is that it's so crazy that he gave me a lot of time to think about my list of thanksgiving actions to do.,back_translation
you 'll get the enjoyable basic minimum .,you will get the basic minimum pleasant .,back_translation
weiss and speck never make a convincing case for the relevance of these two 20th-century footnotes .,Weiss and speck never convincingly justify the relevance of these two 20th century footnotes.,back_translation
earnest and tentative even when it aims to shock .,serious and temporary even when it aims to shock .,back_translation
blithely anachronistic and slyly achronological .,blithelly anachronism and achronology sly.,back_translation
"as a movie , it never seems fresh and vital .","like a movie, it never seems fresh and vital.",back_translation
"the film 's darker moments become smoothed over by an overwhelming need to tender inspirational tidings , especially in the last few cloying moments .","the darker moments of the film become smoothed by an overwhelming need for inspiring tender news, especially in the last moments of the closing.",back_translation
sitting through the last reel -lrb- spoiler alert ! -rrb-,Sitting through the last reel - lrb- spoiler alert! -rrb-,back_translation
"if the very concept makes you nervous ... you 'll have an idea of the film 's creepy , scary effectiveness .","If the very concept makes you nervous... you will have an idea of the break-in of the film, the frightening efficiency.",back_translation
it 's a fanboy ` what if ? ',"He's a fanboy, what if?",back_translation
"the dose is strong and funny , for the first 15 minutes anyway ; after that , the potency wanes dramatically .","the dose is strong and funny, for the first 15 minutes anyway; after that, the power declines dramatically.",back_translation
a pure participatory event that malnourished intellectuals will gulp down in a frenzy .,a pure participatory event that malnourished intellectuals will spoil in a frenzy.,back_translation
"occasionally funny , sometimes inspiring , often boring .","Sometimes funny, sometimes inspiring, often boring.",back_translation
strident and inelegant in its ` message-movie ' posturing .,"strident and inelegant in its "" message-movie "" position.",back_translation
"even if you have no interest in the gang-infested , east-vs .","Even if you have no interest in the infested gang, to the east.",back_translation
"oops , she 's really done it this time .","oops, she really did it this time.",back_translation
there are more shots of children smiling for the camera than typical documentary footage which hurts the overall impact of the film .,There are more photos of smiling children for the camera than typical documentary images that hurt the overall impact of the film.,back_translation
"de ayala is required to supply too much of the energy in a film that is , overall , far too staid for its subject matter .","ayala is necessary to provide too much energy in a film that is, overall, much too static for its object.",back_translation
i survived .,I survived.,back_translation
"thriller directorial debut for traffic scribe gaghan has all the right parts , but the pieces do n't quite fit together .","The start of the thriller staging for the gaghan traffic scribe has all the good parts, but the plays do not go quite together.",back_translation
does little to elaborate the conceit of setting this blood-soaked tragedy of murderous ambition in the era of richard nixon .,does not do much to develop the conceit of placing this bloody tragedy of murderous ambition in the nixon richard era.,back_translation
"disney aficionados will notice distinct parallels between this story and the 1971 musical `` bedknobs and broomsticks , '' which also dealt with british children rediscovering the power of fantasy during wartime .","The aficionados will notice distinct parallels between this story and the 1971 musical `` keepnobs and broomsticks ', which also dealt with British children rediscovering the power of fantasy in wartime.",back_translation
we have an actor who is great fun to watch performing in a film that is only mildly diverting .,We have an actor who is very fun to watch playing in a film that is only slightly deviant.,back_translation
... they missed the boat .,...they missed the boat.,back_translation
it makes sense that he went back to school to check out the girls -- his film is a frat boy 's idea of a good time .,It makes sense that he went back to school to see the girls -- his film is the idea of a good time for a fraternity boy.,back_translation
"they 're going through the motions , but the zip is gone .","They go through the movements, but the zip is gone.",back_translation
though its atmosphere is intriguing ... the drama is finally too predictable to leave much of an impression .,if its atmosphere is intriguing ... the drama is finally too predictable to leave a great impression.,back_translation
one thing is for sure : this movie does not tell you a whole lot about lily chou-chou .,One thing is for sure: this film doesn't talk a lot about Lily Chou-chou.,back_translation
"a serviceable euro-trash action extravaganza , with a decent sense of humor and plenty of things that go boom -- handguns , bmws and seaside chateaus .","an extravagance of action in case of euro crisis , with a decent sense of humor and many things that go boom -- fist guns , bmws and seaside castles .",back_translation
the last three narcissists left on earth compete for each others ' affections .,The last three narcissistics left on earth dispute each other's affection.,back_translation
it 's likely that whatever you thought of the first production -- pro or con -- you 'll likely think of this one .,It is likely that whatever you think of the first production - pro or con - you will probably think of it.,back_translation
wins my vote for ` the 2002 enemy of cinema ' award .,wins my vote for the 2002 film enemy prize.,back_translation
"it 's easy to be cynical about documentaries in which underdogs beat the odds and the human spirit triumphs , but westbrook 's foundation and dalrymple 's film earn their uplift .","It's easy to be cynical about documentaries in which subdogs beat the odds and the human spirit triumphs, but the Westbrook Foundation and the Dalrymple film win their umplift.",back_translation
"` tadpole ' was one of the films so declared this year , but it 's really more of the next pretty good thing .","‘ tadpole ' was one of the films so declared this year, but it's really more of the next pretty good thing.",back_translation
"when the precise nature of matthew 's predicament finally comes into sharp focus , the revelation fails to justify the build-up .","when the precise nature of the matthew situation eventually comes into play , revelation does not justify accumulation .",back_translation
... tackling a low-budget movie in which inexperienced children play the two main characters might not be the best way to cut your teeth in the film industry .,... tackling a low-budget film in which inexperienced children play the two main characters may not be the best way to cut your teeth in the film industry.,back_translation
"but it is set in a world that is very , very far from the one most of us inhabit .","But it is located in a world that is very, very far from the one that most of us live in.",back_translation
"after the setup , the air leaks out of the movie , flattening its momentum with about an hour to go .","After installation, the air escapes from the film, flattening its momentum with about an hour to travel.",back_translation
"i have no problem with `` difficult '' movies , or movies that ask the audience to meet them halfway and connect the dots instead of having things all spelled out .","I have no problem with ""hard"" movies, or movies that ask the public to meet them halfway and connect points instead of having all the things explained.",back_translation
"all very stylish and beautifully photographed , but far more trouble than it 's worth , with fantasy mixing with reality and actors playing more than one role just to add to the confusion .","all very elegant and beautifully photographed, but much more trouble than it is worth, with fantasy mix with reality and actors playing more than a role just to add to the confusion.",back_translation
the film 's only missteps come from the script 's insistence on providing deep emotional motivation for each and every one of abagnale 's antics .,The only mistakes of the film come from the insistence of the script to provide a deep emotional motivation for each ancient abagnal.,back_translation
... hopefully it 'll be at the dollar theatres by the time christmas rolls around .,I hope it'll be in the dollar theaters before Christmas turns.,back_translation
it 's not difficult to spot the culprit early-on in this predictable thriller .,It is not difficult to spot the culprit early in this predictable thriller.,back_translation
"if you do n't flee , you might be seduced .","If you don't run, you might be seduced.",back_translation
"it may sound like a mere disease-of - the-week tv movie , but a song for martin is made infinitely more wrenching by the performances of real-life spouses seldahl and wollter .","It can sound like a simple illness - the weekly television movie, but a song for martin is made infinitely more tearing by the performances of the spouses of real life seldahl and wollter.",back_translation
"this one is certainly well-meaning , but it 's also simple-minded and contrived .","This one is certainly well-intentioned, but it's as simple of mind and contrivated.",back_translation
"it 's not a classic spy-action or buddy movie , but it 's entertaining enough and worth a look .","It's not a classic spy movie or boyfriend movie, but it's pretty entertaining and worth a look.",back_translation
"if you already like this sort of thing , this is that sort of thing all over again .","If you already like that kind of thing, it's that kind of thing again.",back_translation
"however stale the material , lawrence 's delivery remains perfect ; his great gift is that he can actually trick you into thinking some of this worn-out , pandering palaver is actually funny .","However in the impasse the material, Lawrence's delivery remains perfect; his great gift is that he can actually fool you thinking part of this worn palaver, pandering is actually funny.",back_translation
little more than a super-sized infomercial for the cable-sports channel and its summer x games .,a little more than a super size infomercial for the cable-sports chain and its x summer games.,back_translation
"while we want macdowell 's character to retrieve her husband , we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her .","While we want Macdowell's character to get her husband back, we have to ask ourselves if her personal odyssey prevails over the carnage that claims so many lives around her.",back_translation
"i 'm not saying that ice age does n't have some fairly pretty pictures , but there 's not enough substance in the story to actually give them life .","I'm not saying the ice age doesn't have a few pretty pictures, but there's not enough substance in history to actually give them life.",back_translation
"it 's not life-affirming -- its vulgar and mean , but i liked it .","It's not the affirmation of life -- its vulgar and mean, but I loved it.",back_translation
"the pinochet case is a searing album of remembrance from those who , having survived , suffered most .","the case pinochet is an album searing of memories of those who, having survived, suffered the most.",back_translation
"not as good as the original , but what is ...","not as good as the original, but what is...",back_translation
"while certain cues , like the happy music , suggest that this movie is supposed to warm our hearts , jeong-hyang lee 's film is just as likely to blacken that organ with cold vengefulness .","While certain clues, such as happy music, suggest that this film is supposed to warm our hearts, Jeong-hyang Lee's film is just as likely to blacken this organ with cold vendance.",back_translation
admirably ambitious but self-indulgent .,admirably ambitious but self-indulgent.,back_translation
this rough trade punch-and-judy act did n't play well then and it plays worse now .,That punch and trade juice didn't play well then and he's playing worse now.,back_translation
"massoud 's story is an epic , but also a tragedy , the record of a tenacious , humane fighter who was also the prisoner -lrb- and ultimately the victim -rrb- of history .","the story of masseoud is a epic, but also a tragedy, the record of a tenacious and human fighter who was also the prisoner - lrb- and finally the victim -rrb- of history.",back_translation
ok arthouse .,Okay art house.,back_translation
"there 's an epic here , but you have to put it together yourself .","There's an epic here, but you have to put it together yourself.",back_translation
"all the filmmakers are asking of us , is to believe in something that is improbable .","All the filmmakers ask us, it's to believe in something that is unlikely.",back_translation
like these russo guys lookin ' for their mamet instead found their sturges .,Like these russo looking for their mamet instead of finding their sturgies.,back_translation
for single digits kidlets stuart little 2 is still a no brainer .,for simple numbers kidlets stuart small 2 is still not a brain.,back_translation
"john carlen 's script is full of unhappy , two-dimensional characters who are anything but compelling .","The john carlen script is full of unfortunate, two-dimensional characters that are anything but convincing.",back_translation
journalism of the 1960s .,Journalism of the 1960s.,back_translation
"watching e.t now , in an era dominated by cold , loud special-effects-laden extravaganzas , one is struck less by its lavish grandeur than by its intimacy and precision .","now, in a time dominated by the cold, by the extravagances of special-loaded effects, one is less struck by its sumptuous grandeur than by its intimacy and precision.",back_translation
the performances are all solid ; it merely lacks originality to make it a great movie .,The performances are all solid; it simply lacks originality to make it a great film.,back_translation
brings awareness to an issue often overlooked -- women 's depression .,raise awareness of a often neglected issue - women's depression.,back_translation
"`` i blame all men for war , '' -lrb- the warden 's daughter -rrb- tells her father .","""I blame all men for the war,"" -lrb- the director's daughter -rrb- said to her father.",back_translation
one of the film 's most effective aspects is its tchaikovsky soundtrack of neurasthenic regret .,One of the most effective aspects of the film is its tchaikovsky soundtrack of neurasthenic regret.,back_translation
goldmember is funny enough to justify the embarrassment of bringing a barf bag to the moviehouse .,goldmember is funny enough to justify the embarrassment of bringing a barf bag to the movie house.,back_translation
reyes ' word processor .,Reyes ' word processing .,back_translation
wanker goths are on the loose !,The wankers are free!,back_translation
the warnings to resist temptation in this film ... are blunt and challenging and offer no easy rewards for staying clean .,The warnings to resist temptation in this film ... are blunt and stimulating and do not offer easy rewards to stay clean.,back_translation
a tasty slice of droll whimsy .,A tasty slice of roll wimsy.,back_translation
you can thank me for this .,You can thank me for that.,back_translation
the fast runner ' transports the viewer into an unusual space,the quick runner transports the spectator in an unusual space,back_translation
"it 's got some pretentious eye-rolling moments and it did n't entirely grab me , but there 's stuff here to like .","He had a few pretentious moments of eye roll and he didn't completely catch me, but there's stuff here to love.",back_translation
ranges from laugh-out-loud hilarious to wonder-what - time-it-is tedious .,goes to laugh-out-loud hilarious to wonder-what-time-it-is tedious.,back_translation
"dark and disturbing , yet compelling to watch .","dark and disturbing, but convincing to look.",back_translation
"bogs down badly as we absorb jia 's moody , bad-boy behavior which he portrays himself in a one-note performance .",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,",back_translation
in a word : no. .,"In a word, no.",back_translation
"there are many things that solid acting can do for a movie , but crafting something promising from a mediocre screenplay is not one of them .","There are many things that solid action can do for a film, but making something promising from a mediocre scenario is not one of them.",back_translation
ca n't get enough of libidinous young city dwellers ?,Don't we have enough of the city's libido youth?,back_translation
would i see it again ?,Would I see him again?,back_translation
"at its worst the screenplay is callow , but at its best it is a young artist 's thoughtful consideration of fatherhood .","at his worst the script is quiet, but at his best he is a young artist's thoughtful consideration of fatherhood.",back_translation
"ana 's journey is not a stereotypical one of self-discovery , as she 's already comfortable enough in her own skin to be proud of her rubenesque physique ...","ana's travel is not stereotypical of self-discovery, as it is already comfortable enough in its own skin to be proud of its rubenesque physics ...",back_translation
"... if you 're just in the mood for a fun -- but bad -- movie , you might want to catch freaks as a matinee .","...if you're just in the mood for a fun - but bad - movie, you might want to catch monsters like a morning.",back_translation
"but be warned , you too may feel time has decided to stand still .","But be warned, you too can feel that time has decided to remain motionless.",back_translation
it depends on how well flatulence gags fit into your holiday concept .,It depends on how flatulence gags fit into your vacation concept.,back_translation
adults will certainly want to spend their time in the theater thinking up grocery lists and ways to tell their kids how not to act like pinocchio .,Adults will certainly want to spend their time in theatre thinking about grocery lists and how to tell their children how not to act like pinocchio.,back_translation
well-meaning but inert .,Well intentional but inert.,back_translation
de niro cries .,Niro screams.,back_translation
do you chuckle at the thought of an ancient librarian whacking a certain part of a man 's body ?,Are you kidding the idea of an old librarian who killed some part of a man's body?,back_translation
it 's not hateful .,It's not hateful.,back_translation
"feels like nothing quite so much as a middle-aged moviemaker 's attempt to surround himself with beautiful , half-naked women .","feels like nothing as much as an attempt by an average-aged filmmaker to surround himself with beautiful, half-naked women.",back_translation
it would work much better as a one-hour tv documentary .,It would work much better like an hour-long television documentary.,back_translation
"directors john musker and ron clements , the team behind the little mermaid , have produced sparkling retina candy , but they are n't able to muster a lot of emotional resonance in the cold vacuum of space .","stage directors john musker and ron clements, the team behind the little mermaid, have produced sparkling retina candy, but they are not able to gather much emotional resonance in the cold vacuum of space.",back_translation
many of benjamins ' elements feel like they 've been patched in from an episode of miami vice .,Many elements of benjamin feel like they were patched in an episode of miami vice.,back_translation
... little more than a well-acted television melodrama shot for the big screen .,... a little more than a well-played television melodrama shot for the big screen.,back_translation
your stomach for heaven depends largely on your appetite for canned corn .,your stomach for the sky depends largely on your appetite for canned corn.,back_translation
an average coming-of-age tale elevated by the wholesome twist of a pesky mother interfering during her son 's discovery of his homosexuality .,an average-aged story of arrival raised by a healthy twister of a stinging mother interferes with the discovery of her son's homosexuality.,back_translation
rabbit-proof fence will probably make you angry .,The rabbit-proof fence will probably make you angry.,back_translation
punitively affirmational parable .,parable punitively affirming.,back_translation
"as spent screen series go , star trek : nemesis is even more suggestive of a 65th class reunion mixer where only eight surviving members show up -- and there 's nothing to drink .","like past screen series go, Star trek: nemesis is even more suggestive of a 65th class meeting mixer where only eight surviving members appear -- and there's nothing to drink.",back_translation
"if you 're paying attention , the `` big twists '' are pretty easy to guess - but that does n't make the movie any less entertaining .","If you ""be careful, the big twists"" are pretty easy to guess - but that doesn't make the movie less entertaining.",back_translation
