label,original,augmented,method
0,"with a completely predictable plot , you 'll swear that you 've seen it all before , even if you 've never come within a mile of the longest yard .","with a completely predictable land, you will swear that you have seen everything before, even if you have never come within a mile of the longest court.",back_translation
0,"the jokes are sophomoric , stereotypes are sprinkled everywhere and the acting ranges from bad to bodacious .","jokes are sophomorical, stereotypes are sprinkled everywhere and the act goes from bad to bodacious.",back_translation
0,"this is a fragmented film , once a good idea that was followed by the bad idea to turn it into a movie .","It's a fragmented film, once a good idea that was followed by the wrong idea to turn it into a movie.",back_translation
0,"it 's simply stupid , irrelevant and deeply , truly , bottomlessly cynical .","It's just stupid, unimportant and deeply, really, without cynical background.",back_translation
0,"the movie is almost completely lacking in suspense , surprise and consistent emotional conviction .","the film almost completely lacks suspense, surprise and constant emotional conviction.",back_translation
0,"the characters are so generic and the plot so bland that even as rogue cia assassins working for chris cooper 's agency boss close in on the resourceful amnesiac , we do n't feel much for damon\/bourne or his predicament .","the characters are so generic and the plot so clumsy that even as a murderous cia rogue working for the boss of the cooperative chris agency get closer on the resourceful amnesia, we do not feel much for daton\/bourne or its difficult situation.",back_translation
0,like a can of 2-day old coke .,Like a box of coke for two days.,back_translation
0,"yes , i suppose it 's lovely that cal works out his issues with his dad and comes to terms with his picture-perfect life -- but world traveler gave me no reason to care , so i did n't .","Yeah, I guess it's adorable that Cal settles his problems with his father and takes care of his perfect life from the point of view of image -- but the traveler of the world gave me no reason to worry about it, so I didn't.",back_translation
0,it 's a drag how nettelbeck sees working women -- or at least this working woman -- for whom she shows little understanding .,She's a slut like Nettelbeck sees the women who work -- or at least that woman who works -- for whom she shows little understanding.,back_translation
0,nothing about this movie works .,Nothing on this movie works.,back_translation
0,"hey everybody , wanna watch a movie in which a guy dressed as a children 's party clown gets violently gang-raped ?","Hey, everybody, you want to watch a movie in which a guy dressed like a children's party clown gets violently raped?",back_translation
0,a decided lack of spontaneity in its execution and a dearth of real poignancy in its epiphanies .,a decided lack of spontaneity in his execution and a lack of real grip in his epiphanies.,back_translation
0,"not only are the film 's sopranos gags incredibly dated and unfunny , they also demonstrate how desperate the makers of this ` we 're - doing-it-for - the-cash ' sequel were .","Not only are the sopranos of the film incredibly dated and clumsy, but they also show how desperate the creators of this ""we are - to - the caisse "" suite were.",back_translation
0,"a rip-off twice removed , modeled after -lrb- seagal 's -rrb- earlier copycat under siege , sometimes referred to as die hard on a boat .","a stowage twice removed, modeled after -lrb- seagal 's -rrb- anterior copier under seat, sometimes called death hard on a boat.",back_translation
0,but the movie that does n't really deliver for country music fans or for family audiences,but the film that doesn't really deliver for country music fans or for the family audience,back_translation
0,"no french people were harmed during the making of this movie , but they were insulted and the audience was put through torture for an hour and a half .","No French were injured during the film, but they were insulted and the public was subjected to torture for an hour and a half.",back_translation
0,amazingly lame .,Surprisingly lame.,back_translation
0,not even felinni would know what to make of this italian freakshow .,Even felinni wouldn't know what to do with this Italian monster.,back_translation
0,"a woefully dull , redundant concept that bears more than a whiff of exploitation , despite iwai 's vaunted empathy .","a sadly dull, redundant concept that carries more than a breath of exploitation, despite iwai's boasted empathy.",back_translation
0,"enough said , except : film overboard !","Suffice to say, except: film overboard!",back_translation
0,... a weak and ineffective ghost story without a conclusion or pay off .,... a weak and ineffective ghost story without conclusion or paying.,back_translation
0,suffers from a lack of clarity and audacity that a subject as monstrous and pathetic as dahmer demands .,suffers from a lack of clarity and audacity that such a monstrous and pathetic subject as dahmer demands.,back_translation
0,it 's not a motion picture ; it 's an utterly static picture .,"It's not a film, it's a completely static film.",back_translation
0,it 's probably not easy to make such a worthless film ...,It's probably not easy to make such a useless movie...,back_translation
0,"i did go back and check out the last 10 minutes , but these were more repulsive than the first 30 or 40 minutes .","I went back to the last 10 minutes, but these were more repulsive than the first 30 or 40 minutes.",back_translation
0,"in the end , the movie bogs down in insignificance , saying nothing about kennedy 's assassination and revealing nothing about the pathology it pretends to investigate .","In the end, the peat film down in insignificance, saying nothing about Kennedy's murder and revealing nothing about the pathology he claims to investigate.",back_translation
0,an infuriating film .,It's a nourishing film.,back_translation
0,"seagal ran out of movies years ago , and this is just the proof .","Seagal's running out of movies years ago, and that's just proof.",back_translation
0,"soulless and -- even more damning -- virtually joyless , xxx achieves near virtuosity in its crapulence .","Without soul and -- even more damning -- practically without joy, xxx reaches near virtuosity in his crapulence.",back_translation
0,"while the story is better-focused than the incomprehensible anne rice novel it 's based upon , queen of the damned is a pointless , meandering celebration of the goth-vampire , tortured woe-is-me lifestyle .","while the story is better focused than the incomprehensible rice novel that it is based on, queen of the damned is a useless celebration, melancholy of the goth-vampire, tortured ill-is-my lifestyle.",back_translation
0,"the biggest problem with roger avary 's uproar against the mpaa is that , even in all its director 's cut glory , he 's made a film that 's barely shocking , barely interesting and most of all , barely anything .","The biggest problem with roger avary 's uproar against the mpaa is that, even in all his films of cut glory, he made a film that 'is hardly shocking, barely interesting and above all, hardly anything.",back_translation
0,it shows that some studios firmly believe that people have lost the ability to think and will forgive any shoddy product as long as there 's a little girl-on-girl action .,it shows that some studios firmly believe that people have lost the ability to think and will forgive any shaddy product as long as there is a little girl-on-daughter action.,back_translation
0,that such a horrible movie could have sprung from such a great one is one of the year 's worst cinematic tragedies .,that such a horrible film could have come out of such a big one is one of the worst cinematographic tragedies of the year.,back_translation
0,it 's always disappointing when a documentary fails to live up to -- or offer any new insight into -- its chosen topic .,It's always disappointing when a documentary fails to live up to its chosen theme or offers no new information on this subject.,back_translation
0,you may be galled that you 've wasted nearly two hours of your own precious life with this silly little puddle of a movie .,Maybe you're messed up that you wasted almost two hours of your precious life with that stupid little puddle of a movie.,back_translation
0,the movie is a desperate miscalculation .,the film is a desperate calculation error.,back_translation
0,what ultimately makes windtalkers a disappointment is the superficial way it deals with its story .,what finally makes windbreaks a disappointment is the superficial way he deals with his history.,back_translation
0,"once one experiences mr. haneke 's own sadistic tendencies toward his audience , one is left with a sour taste in one 's mouth , and little else .","Once we experience Mr. Hanneke's own sadistic tendencies towards his audience, we are left with a bitter taste in his mouth, and few others.",back_translation
0,most of the storylines feel like time fillers between surf shots .,Most of the stories feel like the time fillings between the surf blows.,back_translation
0,what might have been acceptable on the printed page of iles ' book does not translate well to the screen .,what might have been acceptable on the printed page of the island book is not reflected well on the screen.,back_translation
0,"mckay shows crushingly little curiosity about , or is ill-equipped to examine , the interior lives of the characters in his film , much less incorporate them into his narrative .","Mckay shows surprisingly little curiosity about, or is ill equipped to examine, the inner life of the characters in his film, much less incorporate them into his narrative.",back_translation
0,"what we have is a character faced with the possibility that her life is meaningless , vapid and devoid of substance , in a movie that is definitely meaningless , vapid and devoid of substance .","what we have is a character faced with the possibility that his life is meaningless, empty and substanceless, in a film that is definitely meaningless, empty and substanceless.",back_translation
0,"for all of its insights into the dream world of teen life , and its electronic expression through cyber culture , the film gives no quarter to anyone seeking to pull a cohesive story out of its 2 1\/2 - hour running time .","for all his glimpses of the dreamy world of adolescent life, and his electronic expression through cyber culture, the film does not give a quarter to anyone seeking to draw a cohesive story from its 2 1\/2 - working time.",back_translation
0,"cold , sterile and lacking any color or warmth .","cold, sterile and lack of color or heat.",back_translation
0,"a ` girls gone wild ' video for the boho art-house crowd , the burning sensation is n't a definitive counter-cultural document -- its makers are n't removed and inquisitive enough for that .","a video ""Daughters Become Crazy"" for the crowd of boho art-house, the burning sensation is not a definitive countercultural document - its manufacturers are not removed and curious enough for that.",back_translation
0,men in black ii achieves ultimate insignificance -- it 's the sci-fi comedy spectacle as whiffle-ball epic .,men in black ii reaches the ultimate insignificance - this is the spectacle of the science fiction comedy as epic of whaffle-ball.,back_translation
0,there 's nothing to gain from watching they .,There's nothing to gain from watching them.,back_translation
0,stay away .,Stay away from me.,back_translation
0,"should n't have been allowed to use the word `` new '' in its title , because there 's not an original character , siuation or joke in the entire movie .","should not have been allowed to use the word '`new'' in his title, because 'there is no original character, siuation or joke in the whole film.",back_translation
0,get out your pooper-scoopers .,Get your Scoopers out of here.,back_translation
0,... overly melodramatic ...,...too melodramatic...,back_translation
0,"in all the annals of the movies , few films have been this odd , inexplicable and unpleasant .","In all the annals of the films, few films have been this weird, inexplicable and unpleasant.",back_translation
0,highly uneven and inconsistent ... margarita happy hour kinda resembles the el cheapo margaritas served within .,very unequal and inconsistent ... margarita happy hour looks a little like the margaritas el bonko served inside.,back_translation
0,"the effort is sincere and the results are honest , but the film is so bleak that it 's hardly watchable .","The effort is sincere and the results are honest, but the film is so dark that it is barely observable.",back_translation
0,a cheap scam put together by some cynical creeps at revolution studios and imagine entertainment to make the suckers out there surrender $ 9 and 93 minutes of unrecoverable life .,a cheap scam put in place by some creepy cynics in the revolution studios and imagine entertainment to make the suckers there make $9 and 93 minutes of life unrecoverable.,back_translation
0,there 's not a comedic moment in this romantic comedy .,There's no comic moment in this romantic comedy.,back_translation
0,marinated in clichés and mawkish dialogue .,marinated in clichés and mawkish dialogue.,back_translation
0,"this movie , a certain scene in particular , brought me uncomfortably close to losing my lunch .","this film, a certain scene in particular, has brought me incomfortably close to losing my lunch.",back_translation
0,a rumor of angels does n't just slip -- it avalanches into forced fuzziness .,A rumor of angels is not just slipping -- it avalanches into the forced blur.,back_translation
0,never capitalizes on this concept and opts for the breezy and amateurish feel of an after school special on the subject of tolerance .,never capitalizes on this concept and opts for the feeling of bravery and amateur of a special after school on the subject of tolerance.,back_translation
0,"collateral damage is trash , but it earns extra points by acting as if it were n't .","collateral damage is trash, but it gains extra points by acting as if it wasn't.",back_translation
0,"confuses its message with an ultimate desire to please , and contorting itself into an idea of expectation is the last thing any of these three actresses , nor their characters , deserve .","Confounding his message with an ultimate desire to please, and contorting oneself in an idea of waiting is the last thing each of these three actresses, or their characters, deserve.",back_translation
0,this franchise has not spawned a single good film .,This frankness has not produced a single good film.,back_translation
0,makes 98 minutes feel like three hours .,makes 98 minutes feel like three hours.,back_translation
0,an almost unbearably morbid love story .,An almost unbearable and morbid love story.,back_translation
0,a mean-spirited film made by someone who surely read the catcher in the rye but clearly suffers from dyslexia,a wicked spirit movie made by someone who has certainly read the catcher in the rye but clearly suffers from dyslexia,back_translation
0,"in other words , it 's badder than bad .","In other words, it's worse than bad.",back_translation
0,"a tired , predictable , bordering on offensive , waste of time , money and celluloid .","fatigue, predictable, bordering the offensive, waste of time, money and celluloid.",back_translation
0,there 's no disguising this as one of the worst films of the summer .,There's no disguise of it as one of the worst movies of the summer.,back_translation
0,a lame comedy .,A lame comedy.,back_translation
0,bad movie .,Bad movie.,back_translation
0,the film rehashes several old themes and is capped with pointless extremes -- it 's insanely violent and very graphic .,The film retraces several ancient themes and is captured by useless extremes -- it's incredibly violent and very graphic.,back_translation
0,an undistinguished attempt to make a classic theater piece cinematic .,an untiring attempt to make a classic cinematic play.,back_translation
0,it 's pauly shore awful .,It's awful.,back_translation
0,"an inept , tedious spoof of '70s kung fu pictures , it contains almost enough chuckles for a three-minute sketch , and no more .","an inept, tedious outpouring of the 70s kung fu images, it contains almost enough chamfers for a sketch of three minutes, and no more.",back_translation
0,"to be influenced chiefly by humanity 's greatest shame , reality shows -- reality shows for god 's sake !","to be influenced mainly by the greatest shame of humanity, reality shows -- reality shows for God's sake!",back_translation
0,"take away the controversy , and it 's not much more watchable than a mexican soap opera .","eliminating controversy, and it is not much more observable than a Mexican soap opera.",back_translation
0,you expect more from director michael apted -lrb- enigma -rrb- and screenwriter nicholas kazan -lrb- reversal of fortune -rrb- than this cliche pileup .,you expect more from the capable michael director -lrb- enigma -rrb- and scriptwriter nicholas kazan -lrb- inversion of fortune -rrb- than this stacked cliché.,back_translation
0,director jay russell weighs down his capricious fairy-tale with heavy sentiment and lightweight meaning .,director jay Russell weighs his capricious fairy tale with a heavy feeling and light meaning.,back_translation
0,what a great shame that such a talented director as chen kaige has chosen to make his english-language debut with a film so poorly plotted and scripted .,What a shame a director as talented as chen kaige chose to make his debut in the English language with such a misdirected and screenplayed film.,back_translation
0,"a dull , inconsistent , dishonest female bonding picture .","a dull, incoherent image of dishonest female bonding.",back_translation
0,in comparison to his earlier films it seems a disappointingly thin slice of lower-class london life ; despite the title ... amounts to surprisingly little .,"compared to his previous films, it seems that this is a disappointing part of the lower class London life; despite the title ... is surprisingly little.",back_translation
0,the script was reportedly rewritten a dozen times -- either 11 times too many or else too few .,"The script would have been rewritten a dozen times -- 11 times too much, or too little.",back_translation
0,"if we 're to slap protagonist genevieve leplouff because she 's french , do we have that same option to slap her creators because they 're clueless and inept ?","If we are to slap the protagonist genevieve leplouff because she is French, do we have the same option to slap her creators because they are implausible and inept?",back_translation
0,was that movie nothing more than a tepid exercise in trotting out a formula that worked five years ago but has since lost its fizz ?,Was this movie nothing more than a tipic exercise by twisting a formula that worked five years ago but that has since lost its fizz?,back_translation
0,"a cellophane-pop remake of the punk classic ladies and gentlemen , the fabulous stains ... crossroads is never much worse than bland or better than inconsequential .","a remake cellophane-pop of classic punk ladies and gentlemen, fabulous spots ... the crossroads is never much worse than fad or better than inconsequential.",back_translation
0,this movie is about the worst thing chan has done in the united states .,This film is about the worst thing that chan did in the United States.,back_translation
0,the ya-ya 's have many secrets and one is - the books are better .,the ya-ya have a lot of secrets and one of them is - the books are better.,back_translation
0,we 've liked klein 's other work but rollerball left us cold .,"We liked Klein's other work, but the rollerball left us cold.",back_translation
0,"a markedly inactive film , city is conversational bordering on confessional .","A highly inactive film, the city is conversational bordering the confessional.",back_translation
0,... a bland murder-on-campus yawner .,...a murder gag on campus.,back_translation
0,feels more like a rejected x-files episode than a credible account of a puzzling real-life happening .,feels more like an episode of rejected x-files than a credible account of a disconcerting real life that is happening.,back_translation
0,"if hill is n't quite his generation 's don siegel -lrb- or robert aldrich -rrb- , it 's because there 's no discernible feeling beneath the chest hair ; it 's all bluster and cliché .","If the hill is not quite its generation does not sit -lrb- or robert aldrich -rrb-, it is because there is no discernable sensation under the hair of the chest; it is all cluster and cliché.",back_translation
0,irwin and his director never come up with an adequate reason why we should pay money for what we can get on television for free .,irwin and his director have never found an adequate reason to pay the money for what we can get free on TV.,back_translation
0,`` abandon '' will leave you wanting to abandon the theater .,``abandonment '' will let you want to abandon the theatre.,back_translation
0,the movie fails to portray its literarily talented and notorious subject as anything much more than a dirty old man .,The film does not depict its literally talented and notorious subject as something much more than an old dirty man.,back_translation
0,"a vile , incoherent mess ... a scummy ripoff of david cronenberg 's brilliant ` videodrome . '","a ignoble, disorder incoherent ... a snoring of david cronenberg 's brilliant "" Videodrome. '",back_translation
0,"what 's most offensive is n't the waste of a good cast , but the film 's denial of sincere grief and mourning in favor of bogus spiritualism .","What is most offensive is not the waste of a good distribution, but the rejection of the film of sincere pain and mourning in favor of false spiritualism.",back_translation
0,collapses after 30 minutes into a slap-happy series of adolescent violence .,collapses after 30 minutes in a slap-happy series of teenage violence.,back_translation
0,"a surprisingly flat retread , hobbled by half-baked setups and sluggish pacing .","a surprisingly flat retreading, hobbled by half-cooked configurations and lazy pacing.",back_translation
0,"muddled , melodramatic paranormal romance is an all-time low for kevin costner .","muddy, melodramatic paranormal romance is a low of all time for kevin costner.",back_translation
0,"to the civilized mind , a movie like ballistic : ecks vs. sever is more of an ordeal than an amusement .","to the civilized mind, a film like ballistics: ecks vs. sever is more a test than an entertainment.",back_translation
0,"my precious new star wars movie is a lumbering , wheezy drag ...","My precious new star war movie is a logger, wheezy drag ...",back_translation
0,"a dull , simple-minded and stereotypical tale of drugs , death and mind-numbing indifference on the inner-city streets .","a dull, simple-minded and stereotypical history of drugs, death and mental indifference in the streets of downtown.",back_translation
0,"the heedless impetuousness of youth is on full , irritating display in -lrb- this -rrb- meandering and pointless french coming-of-age import from writer-director anne-sophie birot .","the carefree impetuousness of the youth is on full, the irritating exposure in -lrb- this -rrb- meander and the useless French import of the age of the writer-director anne-sophonie birot.",back_translation
0,"a low-budget affair , tadpole was shot on digital video , and the images often look smeary and blurry , to the point of distraction .","a low budget business, tadpole has been shot on digital video, and the images often seem tuxedo and blurred, at the point of distraction.",back_translation
0,the story 's pathetic and the gags are puerile . .,history is pathetic and gags are childish . .,back_translation
0,the sweetest thing leaves a bitter taste .,the sweetest thing leaves a bitter taste.,back_translation
0,maid in manhattan proves that it 's easier to change the sheets than to change hackneyed concepts when it comes to dreaming up romantic comedies .,The manhattan maid proves that changing sheets is easier than changing hackneyed concepts when it comes to dreaming of romantic comedies.,back_translation
0,"the misery of these people becomes just another voyeuristic spectacle , to be consumed and forgotten .","the misery of these people becomes just another voyeuristic spectacle, to consume and forget.",back_translation
0,"even if you 're an elvis person , you wo n't find anything to get excited about on this dvd .","Even if you're an elvis person, you don't find anything to get upset about that dvd.",back_translation
0,"behind the glitz , hollywood is sordid and disgusting .","Behind the straw, the Hollywood is sordid and disgusting.",back_translation
0,"an awful lot like one of -lrb- spears ' -rrb- music videos in content -- except that it goes on for at least 90 more minutes and , worse , that you have to pay if you want to see it .","a terrible spell like one of the -lrb- lances' -rrb- music videos in the content -- except that it continues for at least 90 more minutes and, worse, you have to pay if you want to see it.",back_translation
0,stale and clichéd to a fault .,Stal and cliché with a defect .,back_translation
0,i still want my money back .,I still want my money back.,back_translation
0,"no one involved , save dash , shows the slightest aptitude for acting , and the script , credited to director abdul malik abbott and ernest ` tron ' anderson , seems entirely improvised .","person involved, except dash, shows the slightest ability to act, and the script, credited to the director abdul malik abbott and ernest `tron' anderson, seems entirely improvised.",back_translation
0,the cumulative effect of watching this 65-minute trifle is rather like being trapped while some weird relative trots out the video he took of the family vacation to stonehenge .,The cumulative effect of watching this 65-minute trifle is rather like being trapped while some strange relative trots releases the video he took from a family vacation in Stonehenge.,back_translation
0,"` punch-drunk love is so convinced of its own brilliance that , if it were a person , you 'd want to smash its face in . '","'The love of punch-dunk is so convinced of its own brilliance that, if it was a person, you 'want to break his face in . '",back_translation
0,a sentimental mess that never rings true .,A sentimental disorder that never sounds true.,back_translation
0,"the only problem is that , by the end , no one in the audience or the film seems to really care .","The only problem is that, at the end, no one in the audience or the movie really seems to care about it.",back_translation
0,it 's that painful .,It's so painful.,back_translation
0,"if ever such a dependable concept was botched in execution , this is it .","If such a reliable concept has ever been sloppy in execution, it is him.",back_translation
0,terminally brain dead production .,terminal production of the dead brain.,back_translation
0,the movie suffers from two fatal ailments -- a dearth of vitality and a story that 's shapeless and uninflected .,The film suffers from two deadly ills -- a lack of vitality and a story that is formless and uninfluenced.,back_translation
0,distinctly sub-par ... more likely to drown a viewer in boredom than to send any shivers down his spine .,clearly sub-by ... more likely to drown a spectator in boredom than to send chills into his spine.,back_translation
0,it 's a shame that the storyline and its underlying themes ... finally seem so impersonal or even shallow .,It is a shame that history and its underlying themes... seem at last so impersonal or even shallow.,back_translation
0,"i liked the original short story but this movie , even at an hour and twenty-some minutes , it 's too long and it goes nowhere .","I liked the original news, but this movie, even at an hour and twenty-a- few minutes, is too long and it doesn't go anywhere.",back_translation
0,"it 's the kind of under-inspired , overblown enterprise that gives hollywood sequels a bad name .","It's the kind of under-inspired, surblown business that gives Hollywood suites a bad name.",back_translation
0,"the movie is so contrived , nonsensical and formulaic that , come to think of it , the day-old shelf would be a more appropriate location to store it .","the film is so complicated, unsensitive and formula that, come to think about it, the shelf of a day would be a more suitable place to store it.",back_translation
0,"eventually , they will have a showdown , but , by then , your senses are as mushy as peas and you do n't care who fires the winning shot .","Finally, they will have a showdown, but, by then, your senses are as muscular as peas and you don't care who pulls the winning shot.",back_translation
0,godard 's ode to tackling life 's wonderment is a rambling and incoherent manifesto about the vagueness of topical excess ... in praise of love remains a ponderous and pretentious endeavor that 's unfocused and tediously exasperating .,Godard's ode to tackle the wonder of life is a rampant and inconsistent manifesto on the impreciseness of the current excess ... in the praise of love remains a weighty and pretentious enterprise that 'is inconclusive and Tedieusously exasperating.,back_translation
0,"hampered -- no , paralyzed -- by a self-indulgent script ... that aims for poetry and ends up sounding like satire .","hampered -- no, paralyzed -- by a self-indulgent script... that aims at poetry and ends up sounding like satire.",back_translation
0,"several uninteresting , unlikeable people do bad things to and with each other in `` unfaithful . ''","many uninteresting people, people apart do evil things to one another and with the other in ‘`unfaithful. ' ''",back_translation
0,"... it was n't the subject matter that ultimately defeated the film ... it was the unfulfilling , incongruous , `` wait a second , did i miss something ? ''","... it wasn't the subject that finally defeated the film ... it was the unfulfilled, unfulfilled, ``wait for a second, did I miss something? ''",back_translation
0,"instead of letting the laughs come as they may , lawrence unleashes his trademark misogyny -- er , comedy -- like a human volcano or an overflowing septic tank , take your pick .","Instead of letting laughter come as they can, the law releases its brand misogyny -- er, comedy -- like a human volcano or an overflowing septic tank, take your choice.",back_translation
0,this tuxedo ... should have been sent back to the tailor for some major alterations .,This tuxedo ... should have been returned to the tailor for some major modifications.,back_translation
0,downright transparent is the script 's endless assault of embarrassingly ham-fisted sex jokes that reek of a script rewrite designed to garner the film a `` cooler '' pg-13 rating .,Purely transparent is the script 's endless assault of embarrassing ham-fisted sexual jokes that rewrites a script designed to get the movie a '` cooler'' pg-13 note.,back_translation
0,"the performances are so overstated , the effect comes off as self-parody .","performance is so overestimated, the effect detachs itself as self-parody.",back_translation
0,in terms of execution this movie is careless and unfocused .,in terms of execution this film is negligent and not focused.,back_translation
0,i have not been this disappointed by a movie in a long time .,I haven't been so disappointed in a movie in a long time.,back_translation
0,"unfortunately , one hour photo lives down to its title .","Unfortunately, an hour's photo lives up to his title.",back_translation
0,"for a guy who has waited three years with breathless anticipation for a new hal hartley movie to pore over , no such thing is a big letdown .","for a guy who waited three years with breathless anticipation for a new hal hartley movie to rip off, it's not a big disappointment.",back_translation
0,"the most memorable moment was when green threw medical equipment at a window ; not because it was particularly funny , but because i had a serious urge to grab the old lady at the end of my aisle 's walker and toss it at the screen in frustration .","The most memorable moment was when green threw medical equipment at a window; not because it was particularly funny, but because I had a strong desire to catch the old lady at the end of the walker's driveway and throw it on the screen in frustration.",back_translation
0,"we started to wonder if ... some unpaid intern had just typed ` chris rock , ' ` anthony hopkins ' and ` terrorists ' into some univac-like script machine .","We began to wonder if some unpaid trainees had just typed ""chris rock"", ""anthony hopkins"" and ""terrorists"" in a univac typewriter.",back_translation
0,it 's hard to imagine that even very small children will be impressed by this tired retread .,It is difficult to imagine that even very small children will be impressed by this tired retreading.,back_translation
0,"lazy filmmaking , with the director taking a hands-off approach when he should have shaped the story to show us why it 's compelling .","lazy filming, with the director taking a practical approach when he should have shaped the story to show us why it's convincing.",back_translation
0,press the delete key .,Press the delete key.,back_translation
0,mib ii is a movie that makes it possible for the viewer to doze off for a few minutes or make several runs to the concession stand and\/or restroom and not feel as if he or she has missed anything .,mib ii is a film that allows the spectator to relax for a few minutes or do several errands at the stand and\/or toilets and do not feel like he missed something.,back_translation
0,the lack of naturalness makes everything seem self-consciously poetic and forced ... it 's a pity that -lrb- nelson 's -rrb- achievement does n't match his ambition .,the lack of natural makes everything seem poetic and forced self ... it is a pity that -lrb- nelson's -rrb- realization does not correspond to its ambition.,back_translation
0,"the movie is so resolutely cobbled together out of older movies that it even uses a totally unnecessary prologue , just because it seems obligatory .","The film is so resolutely paved together from old films that it even uses a totally useless prologue, just because it seems mandatory.",back_translation
0,this thing works on no level whatsoever for me .,This thing works at no level for me.,back_translation
0,"an unholy mess , driven by the pathetic idea that if you shoot something on crummy-looking videotape , it must be labelled ` hip ' , ` innovative ' and ` realistic ' .","An impious disorder, driven by the pathetic idea that if you film something on a mieluse videotape, it must be labeled "" hip "" , "" innovative "" and "" realistic "" .",back_translation
0,tries to work in the same vein as the brilliance of animal house but instead comes closer to the failure of the third revenge of the nerds sequel .,Try to work in the same vein as the brilliance of the animal house but rather close to the failure of the third revenge of the nerds after.,back_translation
0,one of the most incoherent features in recent memory .,one of the most inconsistent features of recent memory.,back_translation
0,the rest of the film ... is dudsville .,the rest of the movie... is dudsville.,back_translation
0,"after you laugh once -lrb- maybe twice -rrb- , you will have completely forgotten the movie by the time you get back to your car in the parking lot .","After laughing once - lrb- maybe twice -rrb-, you will have completely forgotten the movie when you go back to your car in the parking lot.",back_translation
0,"despite all the closed-door hanky-panky , the film is essentially juiceless .","Despite the entire closed door Hanky-panky, the film is essentially juice-free.",back_translation
